,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,ABW,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.135139942,1.339779973,1.336449981,1.332479954,1.298990011,1.322239995,1.305649996,1.316709995,1.267050028,1.270769954,1.302090049,1.291970015,1.332999945,1.330919981,1.546409965,1.55953002,1.557989955,1.484619975,,,,
Afghanistan,AFG,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.165639997,,0.153459996,0.185350001,0.162279993,0.164409995,0.165040001,0.265049994,0.236330003,0.185939997,,,,,,,0.172619998,,,,0.474530011,,,,,,,,,,,,,0.283560008,0.282169998,,,,,0.236389995,,0.345649987,,,0.275999993,,,,0.345230013,,
Angola,AGO,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.194509998,,,,,,,,0.687619984,0.630479991,,,0.652540028,,,,,,,,,0.36925,,0.796609998,,0.785409987,0.82565999,,,,
Albania,ALB,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,0.508880019,0.501160026,,,,,,0.823849976,,,1.018290043,,0.946120024,0.898370028,0.849619985,0.866190016,0.944389999,1.021900058,1.058769941,1.095469952,1.093770027,1.093659997,1.022300005,1.098999977,1.067960024,1.113219976,1.208760023,1.215109944,1.308140039,1.30467999,1.338350058,1.358909965,1.369189978,1.35769999,1.311130047,1.253819942,1.270650029,1.238389969,1.266729951,1.262230039,1.272930026,1.284190059,1.289409995,1.303380013,1.298779964,1.321280003,1.344879985,1.362990022,1.359920025,
Andorra,AND,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.567719996,0.566730022,0.556190014,0.554050028,0.555589974,0.557009995,0.564999998,0.541960001,0.53915,0.558430016,0.566129982,0.572380006,0.576870024,0.584379971,0.588069975,0.60402,0.590330005,0.59434998,0.645720005,0.671989977,0.704110026,0.73356998,0.735339999,0.751980007,0.751420021,0.761810005,0.770699978,0.782500029,0.806039989,0.826759994,0.852490008,0.87055999,0.900089979,0.946690023,0.935779989,0.963680029,0.997690022,0.964619994,1.041149974,1.039330006,1.039720058,1.043040037,1.037109971,1.032809973,1.036380053,1.053200006,1.082020044,1.074489951,1.099349976,1.103539944,
United Arab Emirates,ARE,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,0.760850012,0.830370009,0.864189982,0.841470003,0.827099979,0.904359996,0.907100022,0.901520014,0.987720013,0.971249998,1.003710032,1.112910032,1.108469963,1.129179955,1.113090038,1.086169958,1.102429986,1.111899972,,,,,,,,,,,,1.374969959,1.340430021,1.310649991,1.315219998,1.326910019,1.285719991,1.303150058,1.333930016,1.33378005,1.334789991,1.329699993,1.329579949,1.354230046,1.359879971,1.375059962,1.379920006,1.387140036,1.396530032,1.399150014,,,
Armenia,ARM,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19788003,1.242120028,1.248170018,1.225090027,1.291910052,1.285130024,1.247269988,1.234480023,1.225149989,1.192499995,1.179829955,1.156669974,1.153820038,1.117280006,1.122910023,1.160859942,1.211840034,1.21487999,1.247879982,1.253430009,
American Samoa,ASM,"School enrollment, tertiary (gross), gender parity index (GPI)",SE.ENR.TERT.FM.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
